instruction,output,financial_score,word_count
"Stocks vs. High-yield Bonds: Risk-Reward, Taxes?","When credit locks up, junk bond prices fall rapidly, and you see more defaults. The opportunity to make money with junk is to buy a diversified collection of them when the market declines. Look at the charts from some of the mutual funds or ETFs like PIMCO High Yield Instl (PHIYX), or Northeast Investors (NTHEX). Very volatile stuff. Keep in mind that junk bonds are not representative of the economy as a whole -- they cluster in certain industries. Retail and financials are big industry segments for junk.  Also keep in mind that the market for these things is not as liquid as the stock market. If your investment choice is really a sector investment, you might be better served by investing in sector funds with stocks that trade every day versus bonds whose market price may be difficult to determine.",13,147
What's the most conservative split of financial assets for my portfolio in today's market?,"The safest place to put money is a mixture of cash, local municipal bond funds with average durations under two years and US Treasury bond funds with short durations.  Examples of good short term US municipal funds: I'm not an active investor in Australian securities, so I won't recommend anything specific. Because rates are so low right now, you want a short duration (ie. funds where the average bond matures in < 2 years) fund to protect against increased rates. The problem with safety is that you won't make any money. If your goal to grow the value of your investment while minimizing risk, you need to look at equities. The portfolios posted by justkt are a great place to start.",13,135
Option trading: High dollar value stock option and equity exposure,"You're forgetting the fundamental issue, that you never have to actually exercise the options you buy.  You can either sell them to someone else or, if they're out of the money, let them expire and take the loss. It isn't uncommon at all for people to buy both a put and call option (this is a ""straddle"" when the strike price of both the put and call are the same). From Investopedia.com: A straddle is an options strategy in which the investor holds a position in both a call and put with the same strike price and expiration date, paying both premiums. This strategy allows the investor to make a profit regardless of whether the price of the security goes up or down, assuming the stock price changes somewhat significantly.   Read more: Straddle http://www.investopedia.com/terms/s/straddle.asp#ixzz4ZYytV0pT",13,144
"Best way to start investing, for a young person just starting their career?","I would personally suggest owning Mutual Funds or ETF's in a tax sheltered account, such as a 401k or an IRA, especially Roth options if available.  This lets you participate in the stock market while ensuring that you have diversified portfolio, and the money is managed by an expert.  The tax sheltered accounts (or tax free in the case of Roth accounts) increase your savings, and simplify your life as you don't need to worry about taxes on earnings within those accounts, as long as you leave the money in. For a great beginner's guide see Clark's Investment Guide (Easy).",13,113
how do I calculate rate of return on call options that are spread,"You don't necessarily have to use a LEAP to do a spread. Since you are doing a covered call, I'm assuming that you would be comfortable with having that call exercised and you are bullish on the stock. So doing a spread trade with the short call option would essentially be capping your maximum profit without risking the obligation to sell the stock below market value.  An example for the payoff from a bull call spread: long lower strike call, short higher (covered) strike call can be found here",13,102
Does an owner of a bond etf get an income even if he sells before the day of distribution?,"Bond ETFs are traded like normal stock.  It just so happens to be that the underlying fund (for which you own shares) is invested in bonds.  Such funds will typically own many bonds and have them laddered so that they are constantly maturing.  Such funds may also trade bonds on the OTC market. Note that with bond ETFs you're able to lose money as well as gain depending on the situation with the bond market.  The issuer of the bond does not need to default in order for this to happen.  The value of a bond (and thus the value of the bond fund which holds the bonds) is, much like a stock, determined based on factors like supply/demand, interest rates, credit ratings, news, etc.",12,144
Is 6% too high to trade stocks on margin?,"6% isn't ""too high"" in terms of market rates at the moment, however it's a very subjective question whether it's too high for you. The real question to determine is if paying 6%, can you make more than 6% return (to cover the costs plus your profit)? As for a rule of thumb, there's none I know of, however your best bet is to take the time to model it in Excel (not difficult).  It's different for each portfolio or investment. Something with a high standard deviation of returns is already high risk, adding margin to it only makes it worse.  So, long story short is that, ""it depends"".",12,118
"Companies that use their cash to buy back stock, issue dividends, etc. — how does this this typically affect share price?","IBM is famous for spending lots of money on stock buyback to keep the stock price higher. The technique works, and investors in growth stocks generally prefer a high market prices to a taxable dividend payment. Dividends are ways to return shareholder value when a company generates a lot of cash, but doesn't have alot of growth. Electric and gas companies are a classic example of high-dividend companies.",12,89
What can I do to remedy ISA cash/shares transfer latency?,"One possibility you may consider is to keep all of your funds in the stocks and shares ISA while investing that proportion you wish to keep in cash into a tradeable ""Money Market"" ETF. A Money Market ETF will give you rates comparable to interest rates on cash and at the same time it will give you ""instant access"" subject to normal 3 day settlement of equities.   This is not exactly a perfect solution.  Most Money Market ETFs will pay monthly dividends, so depending on your timing, you may have to give up some interest.  In the worst case, if you were to sell the day before going ex-dividend, then you would be giving up a months interest.  In the best case,  if you were to sell on the day of going ex-dividend, you would be giving up no interest.",12,150
Why should we expect stocks to go up in the long term?,"Companies are expected to make a profit, otherwise there is no point to their existence and no motivation for investment. That profit comes back to shareholders as growth and/or dividend. If a company is doing well and has a healthy profit to turn back into investment to facilitate increased future earnings, it increases shareholder equity and share price. If a company is doing well and has a healthy profit to pay out in dividend, it makes the shares more attractive to investors which pushes the price up. Either way, shares go up. Share prices drop when companies lose money, or there are market disturbances affecting all companies (recessions), or when individual companies fail. Averaged over all companies over the long term (decades), stocks can be reasonably expected to go up.",12,142
Why I cannot find a “Pure Cash” option in 401k investments?,"The short term bond fund, which you are pretty certain to have as an option, functions in this capacity.  Its return will be low, but positive, in all but the most dramatic of rising rate scenarios. I recall a year in the 90's when rates rose enough that the bond fund return was zero or very slightly negative. It's not likely that you'd have access to simple money market or cash option.",12,83
Why would a company sell debt in order to buy back shares and/or pay dividends?,"There is a substantial likelihood over the next several years that the US Dollar will experience inflation. (You may have heard terms like ""Quantitative Easing."") With inflation, the value of each dollar you have will go down. This also means that the value of each dollar you owe will go down as well.  So, taking out a loan / issuing a bond at a very good rate, converting it into an asset that's a better way to store value (possibly including stock in a big stable company like MSFT) and then watching inflation reduce the (real) value of the loan faster than the interest piles up... that's like getting free money. Combine that with the tax-shelter games alluded to by everyone else, and it starts to look like a very profitable endeavour.",12,147
What's the most conservative split of financial assets for my portfolio in today's market?,"This is a somewhat complicated question because it really depends on your personal situation.  For example, the following parameters might impact your optimal asset allocation: If you need the money before 3 years, I would suggest keeping almost all of it in cash, CDs, Treasuries, and ultra safe short-term corporate bonds. If however, you have a longer time horizon (and since you're in your 30s you would ideally have decades) you should diversify by investing in many different asset classes.  This includes Australian equity, international equity, foreign and domestic debt, commodities, and real estate.  Since you have such a long time horizon market timing is not that important.",12,122
Get interest on $100K by spending only $2K using FOREX rollovers?,"I'm smart enough to know that the answer to your questions is 'no'.  There is no arbitrage scenario where you can trade currencies and be guaranteed a return. If there were, the thousands of PhD's and quants at hedge funds like DEShaw and Bridgewater would have already figured it out. You're basically trying to come up with a scenario that is risk free yet yields you better than market interest rates.  Impossible. I'm not smart enough to know why, but my guess is that your statement ""I only need $2k margin"" is incorrect.  You only need $2k as capital, but you are 'borrowing' on margin the other 98k and you'll need to pay interest on that borrowed amount, every day.  You also run the risk of your investment turning sour and the trading firm requiring a higher margin.",12,149
"Strategies for putting away money for a child's future (college, etc.)?","Others have given some good answers. I'd just like to chime in with one more option: treasury I-series bonds. They're linked to an inflation component, so they won't lose value (in theory). You can file tax returns for your children ""paying"" taxes (usually 0) on the interest while they're minors, so they appreciate tax-free until they're 18. Some of my relatives have given my children money, and I've invested it this way. Alternatively, you can buy the I-bonds in your own name. Then if you cash them out for your kids' education, the interest is tax-free; but if you cash them out for your own use, you do have to pay taxes on the interest.",12,126
"$200k in an IRA, unallocated. What's the safest investment?","if you don't intent to touch the money for 10 years or longer, then dumping 100% into a low-expense-ratio index fund seems like a perfectly reasonable thing to do. it is simple, low maintenance and fairly mindless. just remember to reinvest the dividends occasionally (e.g. every 6 months).  however, if you are the kind of person who is going to lose their nerve when the market goes down 30%, then putting some of your money into a bond index fund or even a treasury note fund would be better than selling stock in a down market. just figure out how much of your portfolio you are comfortable losing, and put that in stocks.  then put the rest in some stable value fund and watch it's value get slowly washed away by inflation while your stock investments rise through violent swings.",12,149
How much time would I have to spend trading to turn a profit?,"Don't go for the 'fast buck'. There's no such thing. There are two types of people that make money on the stock market: Investors and Speculators. Investors are people that pick a stock that's relatively low, relatively secure, and buy the stock for the long run, 5, 10 years or more. Warren Buffet said his ideal period for investing is forever. Basically, a well run company should always be a good investment. Speculators go for the fluctuations in stock prices. Day traders, Options, etc. It's risky business and you'll be able to lose a lot of money in a short term. There's always a risk when you invest your money, so go with MrChrister's advise to start with a simulator. Have fun.",12,135
Why would a company sell debt in order to buy back shares and/or pay dividends?,"It's a tax shelter. Foreign affiliates hold most of Microsoft's cash and investments. The cost of borrowing is much cheaper than repatriating the money and paying taxes. Those bonds are selling at rates similar to US Treasury Debt. Also, many people and organizations with lots of assets still borrow money for day to day expenses. Why? You tend to make a better return on investments which are committed for a number of years, and the timing of income from those investments may not coincide with your expenses.",12,102
What should I do with my money?,"If you are in an economy which has a decent liquid debt market (corporate bonds, etc.), then you may look into investing in AA or AA+ rated bonds. They can provide higher returns than bank deposits and are virtually risk-free. (Though in severe economic downturns, you can see defaults in even very high-rated bonds, leading to partial or complete loss of value however, this is statistically quite rare). You can make this investment through a debt mutual fund but please make sure that you read through the offer document carefully to understand the investment style of the mutual fund and their expense ratio (which directly affect your returns). In any case, it is always recommended to reach out to an investment adviser who is good with local tax laws to minimize taxes and maximize returns.",12,142
Question about dividends and giant companies [duplicate],"Dividends are a way of distributing profits from operating a business to the business owners. Why would you call it ""wasting money"" is beyond me. Decisions about dividend distribution are made by the company based on its net revenue and the needs of future capital. In some jurisdictions (the US, for example), the tax policy discourages companies from accumulating too much earnings without distributing dividends, unless they have a compelling reason to do so. Stock price is determined by the market. The price of a stock is neither expensive nor cheap on its own, you need to look at the underlying company and the share of it that the stock represents. In case of Google, according to some analysts, the price is actually quite cheap. The analyst consensus puts the target price for the next 12 months at $921 (vs. current $701).",12,149
Are Certificates of Deposit worth it compared to investing in the stock market?,"If you want to spend all of your money in the next few years, then a CD protects you from the risk of a bear market. however, if your time horizon is longer than 10 years, then the stock market is a better bet, since it is less effected by inflation risk. also, as you point out average stock returns are much higher, ignoring volatility.  On the whole, CD's appeal to people who would otherwise save their money in cash.  generally, it seems these people are simply afraid of stocks and bonds because those securities can lose nominal value as well as real value.  I suspect this is largely because these people don't understand inflation, nor the historical long-term index fund performance.",12,135
Are index trackers subject to insolvency risk?,"The Financial Services Compensation Scheme says: Investments   FSCS provides protection if an authorised investment firm is unable to pay claims against it. For example: for loss arising from bad investment advice, poor investment management or misrepresentation; when an authorised investment firm goes out of business and cannot return investments or money. Investments covered include: stocks and shares; unit trusts; futures and options; personal pension plans and long-term investments such as mortgage endowments. An index-tracking fund provided by an authorised investment firm would seem to qualify in the cases where: The critical points here then are: I can't find anything easily to hand about FSCS on Blackrock's website, so I would imagine that you'd need to consult the documentation on your investment product to be sure.",12,132
"Stocks and bonds have yields, but what is a yield?","Yield can be thought of as the interest rate you would receive from that investment in the form of a dividend for stocks or interest payments on a bond.  The yield takes into account the anticipated amount to be received per share/unit per year and the current price of the investment.   Of course, the yield is not a guaranteed return like a savings account.  If the investment yield is 4% when you buy, it can drop in value such that you actually lose money during your hold period, despite receiving income from the dividend or interest payments.",12,107
Should I move my money market funds into bonds?,"There is a thing called the Sharpe Ratio. This Ratio takes return/risk with risk being defined as the standard deviation of prices over time. According to Financial theory the investment with the highest (best) Sharpe Ratio is a market portfolio. Technically accepting the lower risk of a treasury is accepting an amplified lower return(market sharpe would be 1 than tbill sharpe would be at most .9999999999999).  Because of this, unless there are liquidity restraints (don't buy ETFs with your payroll money DUH) you should ALWAYS be in market funds, otherwise you are leaving money on the table. Everything else is just speculation.  Now the real question is value or growth.......",12,119
Is losing money in my 401K normal?,"Depends on how the money is invested within the 401k... but in general, prices move both up and down with a long-tem bias toward up.  Think of it this way: with fund shares priced lower now, you are getting shares cheaper than when you entered the plan. So this dip is actually working in your favor, as long as you are comfortable trusting that long-term view (and trusting the funds your 401k money is going into). Believe me, it's even scarier when you're nearer your target retirement date and a 10% dip may be six figures... but it's all theoretical until you actually start drawing the money back out, and you have to learn to accept some volatility as part of the trade-off  for getting returns better than bonds.",12,136
Can PE ratio of stocks be compared to other investments?,"Yes, there are non-stock analogs to the Price/Earnings ratio. Rental properties have a Price/Rent ratio, which is analogous to stocks' Price/Revenue ratio.  With rental properties, the ""Cap Rate"" is analogous to the inverse of the Price/Earnings ratio of a company that has no long-term debt. Bonds have an interest rate.  Depending on whether you care about current dividends or potential income, the interest rate is analogous to either a stock's dividend rate or the inverse of the Price/Earnings ratio.",12,89
Newbie question - Brokerage and selling shares,"Capital gains tax is an income tax upon your profit from selling investments. Long-term capital gains (investments you have held for more than a year) are taxed significantly less than short-term gains. It doesn't limit how many shares you can sell; it does discourage selling them too quickly after buying.  You can balance losses against gains to reduce the tax due. You can look for tax-advantaged investments (the obvious one being a 401k plan, IRA, or equivalent, though those generally require leaving the money invested until retirement). But in the US, most investments other than the house you are living in (which some of us argue isn't really an investment) are subject to capital gains tax, period.",12,124
What are investment options for young married couple with no debt that have maxed out retirement savings?,"Paying the mortgage down is no different than investing in a long term taxable fixed instrument. In this economy, 4.7% isn't bad, but longer term, the stock market should return higher.  When you have the kid(s), is your wife planing to work? If not, I'd first suggest going pre-tax on the IRAs, and when she's not working, convert to Roth. I'd advise against starting the 529 accounts until your child(ren) is actually born.  As far as managed funds are concerned, I hear ""expenses."" Why not learn about lower cost funds, index mutual funds or ETFs? I'd not do too much different aside from this, until the kids are born.",12,126
Why not just invest in the market?,"Most of it is probably due to ignorance and disbelief. A few years ago, I started doing week-long trades with my IRA. For a while I would make money each time, and over the first year I had about a 20% rate of return. If you asked me if I thought I was smarter than other people in the market, I would've told you no - I just spent more time, and most people accepted a small financial penalty for not having to spend the time directly managing their portfolio. Then I made a few poor choices, and all my previous earnings disappeared quickly. In the short term, yeah, things were great, but that didn't extrapolate out. So now that I'm a few years into investing, I'm almost entirely in index funds.",12,139
"Over the long term, why invest in bonds?","Bonds provide protections against stock market crashes, diversity and returns as the other posters have said but the primary reason to invest in bonds is to receive relatively guaranteed income. By that I mean you receive regular payments as long as the debtor doesn't go bankrupt and stop paying. Even when this happens, bondholders are the first in line to get paid from the sale of the business's assets. This also makes them less risky. Stocks don't guarantee income and shareholders are last in line to get paid. When a stock goes to zero, you lose everything, where as a bondholder will get some face value redemption to the notes issue price and still keep all the previous income payments. In addition, you can use your bond income to buy more shares of stock and increase your gains there.",12,147
How can I calculate the volatility(standard deviation) of a stock price? and/or ROI (return on investment) of a stock?,"Use the Black-Scholes formula. If you know the current price, an options strike price, time until expiration, and risk-free interest rate, then knowing the market price of the option will tell you what the market's estimation of the volatility is. This does rely on a few assumptions, such as Gaussian random walk, but those are reasonable assumptions for most stocks. You can also get a list of past stock prices, put them in Excel, and ask Excel to calculate the standard deviation with stdev.s(), but that gives you the past volatility. The market's estimate of future volatility is more relevant.",12,119
Where should I invest to hedge against the stock market going down?,"If you were certain you would probably do best by short selling an ETF that tracked the index for the market you think was about to tank. You'd certainly make a lot more money on that strategy than precious metals. If you were feeling super confident and want to make your money earn even more, you could also buy a bunch of put options on those same ETF funds. Obligatory Warning: Short selling and options can be extremely risky. While most investments cap your potential losses to your total investment, a short sale has no theoretical limit to the amount of money you can lose.",12,117
Forex vs day trading for beginner investor,"Are you in the US? Because if so, there are tax discrepancies. Gains from sale of stocks held for less than one year are subject to ordinary income tax, so probably around 30%. If you hold those stocks for a year or more, gains will be taxed as capital gains tax, 15%.  For Forex, taxes on your earnings will be split 60/40. 60% will be traded at the lower 15% rate, while the remaining 40& will be taxed at a higher rate, approximately 30%.  So purely short-term, there is a tax advantage to dabbling in Forex. HOWEVER - these are both incredibly risky things to do with your money! I never would recommend anyone invest short-term looking to make quick cash! In fact, the tax code DISCOURAGES people from short-term investments.",12,138
Advice on low-risk long-term strategy for extra cash?,"Look at a mixture of low-fee index funds, low-fee bond funds, and CDs. The exact allocation has to be tailored to your appetite for risk. If you only want to park the money with essentially no risk of loss then you need FDIC insured products like CDs or a money market account (as opposed to a money market fund which is not FDIC insured). However as others have said, interest rates are awful now.  Since you are in your early 30's, and expect to keep this investment for 10+ years, you can probably tolerate a bit of risk. Also considering speaking to a tax professional to determine the specific tax benefits/drawbacks of one investment strategy (funds and CDs) versus another (e.g. real estate).",12,131
How does the purchase of shares on the secondary market benefit the issuing company?,"Stock trading (as opposed to IPO) doesn't directly benefit the company. But it affects their ability to raise additional funds; if they're valued higher, they don't need to sell as many shares to raise a given amount of money.  And the stockholders are part owners of the company; their votes in annual corporate meetings and the like can add up to a substantial influence on the company's policies, so the company has an interest in keeping them (reasonably) happy. Dividends (distributing part of the company's profits to the stockholders) are one way of doing so. You're still investing in the company. The fact that you're buying someone else's share just means you're doing so indirectly, and they're dis-investing at the same time.",12,136
Does the stock market create any sort of value?,"When you own stock in a company, you do literally own part of the business, even if it's a small portion. Anyone amassing over 50% of shares really does have a controlling interest. No, you can't trade a handful of AAPL shares back to Apple for an iPod, but you can sell the shares and then go buy an iPod with the proceeds. Stock prices change over time because the underlying companies are worth more or less and people are willing to pay more or less for those shares. There is no Ponzi scheme because each share you own can be bought or sold on the open market. Dividends come from the company profits, not from other investors. On the other hand, money only has value because everyone believes it has value. There's the real conspiracy.",12,145
Is short selling a good hedging strategy during overzealous market conditions?,"I saw that an answer hasn't been accepted for this yet: Being bearish is a good hedging strategy. But being hedged is a better hedging strategy. The point being that not everything in investments is so binary (up, and down). A lot of effective hedges can have many more variables than simply ""stock go up, stock go down"" As such, there are many ways to be bearish and profit from a decline in market values without subjecting yourself to the unlimited risk of short selling. Buying puts against your long equity position is one example. Being long an ETF that is based on short positions is another example.",12,119
Why does capital gains tax apply to long term stock holdings?,"In Australia we have a 50% capital gain discount if you hold the asset for more than 12 months, whether it is in shares, property or other assets. The main reason is to encourage people to invest long-term instead of speculating or trading. The government sees speculation or short term trading as more risky than long term investing for the everyday mum and dad investor, so rewards people it sees taking the lower risk long term view. In my opinion, long term investing, short term trading and speculation can all be risky for someone who is unedutated in the financial markets, and the first rule of investing should be to consider the asset itself and not the tax implications.",11,130
What effect does a company's earnings have on the price of its stock?,"Your autograph analogy seems relevant to me. But it is not just speculation. In the long run, investing in stocks is like investing in the economy. In the long run, the economy is expected to grow , hence stock prices are expected to go up. Now in theory: the price of any financial instrument is equal to the net present value today of all the future cash flows from the instrument. So if company's earnings improve, shareholders hope that the earnings will trickle down to them either in form of dividends or in form of capital gain. So they buy the stock, creating demand for it. I can try to explain more if this did not make any sense. :)",11,133
Invest in low cost small cap index funds when saving towards retirement?,"You can simply stick with some index funds that tracks the S&P 500 and Ex-US world market. That should provide some good diversification. And of course, you should always have a portion of your money in short/mid term bond fund, rebalancing your stock/bond ratio all the way as deemed necessary. If you want to follow the The Über–Tuber portfolio, you'd better make sure that there's minimum overlapping among the underlying shares that they hold.",11,86
Why do deep in the money options trade below their intrinsic value?,"You made 94$ on an investment of 554.80 *100 = 55480$ for an approx holding period of 1 year. So the % return is ~0.16%, which is not much better than the short term us treasury rate. The current 1 year treasury rate is 0.27%: http://ycharts.com/indicators/1_year_treasury_rate So yes, you have a risk free portfolio, so you make the risk free rate. Remember this is an European option, so you are stuck for 1 year. if you found the same mispricing in an American option, then you found an arbitrage.",11,101
Accepting high volatility for high long-term returns,"Modern portfolio theory dramatically underestimates the risk of the recommended assets.  This is because so few underlying assets are in the recommended part of the curve.  As investors identify such assets, large amounts of money are invested in them.  This temporarily reduces measured risk, and temporarily increases measured return.  Sooner or later, ""the trade"" becomes ""crowded"".  Eventually, large amounts of money try to ""exit the trade"" (into cash or the next discovered asset).  And so the measurable risk suddenly rises, and the measured return drops. In other words, modern portfolio theory causes bubbles, and causes those bubbles to pop. Some other strategies to consider:",11,111
Trading stocks has become increasingly popular with more people investing. Explain the risks involved with trading stocks.,"Trading stocks carries with it many risks. The most obvious risk is that of financial loss due to a decrease in the value of a stock. This risk is magnified by leverage where traders borrow funds to increase their position size. Trading stocks also carries a risk of psychological stress, especially when trades result in financial losses. Additionally, the stock market is highly volatile and subject to wide price swings, meaning that any investment carries the risk of substantial losses. Finally, there is the risk of investing in stocks that are poorly researched, or investing in companies with poor fundamentals that could lead to a loss of capital.",11,125
What numbers to look for investment returns,"(Value of shares+Dividends received)/(Initial investment) would be the typical formula though this is more of a percentage where 1 would indicate that you broke even, assuming no inflation to be factored. No, you don't have to estimate the share price based on revenues as I would question how well did anyone estimate what kind of revenues Facebook, Apple, or Google have had and will have. To estimate the value of shares, I'd likely consider what does my investment strategy use as metrics: Is it discounted cash flow, is it based on earnings, is it something else? There are many ways to determine what a stock ""should be worth"" that depending on what you want to believe there are more than a few ways one could go.",11,133
Can I evaluate the performance of a company using just OHLC data?,"No. The information you are describing is technical data about a stock's market price and trading volume, only. There is nothing implied in that data about a company's financial fundamentals (earnings/profitability, outstanding shares, market capitalization, dividends, balance sheet assets and liabilities, etc.) All you can infer is positive or negative momentum in the trading of the stock. If you want to understand if a company is performing well, then you need fundamental data about the company such as you would get from a company's annual and quarterly reports.",11,100
Is it normal that US Treasury bills(0.07%) yield smaller than interest rate(0.25%)?,"Im not sure if its normal/sensical/healthy, and that is kind of opinion based. But there is a reason for it. Certain rules and regulations passed recently are causing companies or institutions to shift to bonds from cash. Fidelity, for example, is completely converting its $100 billion dollar cash fund to short term bills. Its estimated that over $2 trillion that is now in cash may be converted to bills, and that will obviously put upward preasure on the price of them. The treasury is trying to issue more short term debt to balance out the demand. read more here: http://www.wsj.com/articles/money-funds-clamor-for-short-term-treasurys-1445300813",11,112
Risks associated with investing in dividend paying stocks for short term income. Alternatives?,"I wouldn't focus too much on dividends itself; at the end of the day what matters is total gain, because you can convert capital gain into income by selling your assets (they have different tax implications, but generally capital gains tend to be more tax efficient).    I think the more important question is how much volatility you can tolerate. Since your investment horizon is short & your risk tolerance is low (as in if you suddenly get much lower income than you planned from your investment you'll be in trouble), you probably want assets that have low volatility.   To achieve that, I'd consider the following if I were you: tl;dr If I were you I'd just hold a general investment portfolio with a lower risk profile rather than focusing on dividend generating assets.",11,146
Construct a logical argument in favor of investing in stocks.,"The stock market is an excellent investment opportunity because it offers long-term growth potential, diversification opportunities, and liquidity to investors. Long-term investments in stocks have historically provided a higher rate of return than other investments such as bonds, cash, and real estate. Additionally, diversifying investments across different sectors and stocks helps to reduce risk. Finally, stocks are highly liquid and allow investors to access their money quickly if needed.",11,79
Make your money work for you,"Thats a very open question, Depends on the risk you are willing to take with the money, or the length of time you are willing sit on it, or if you have a specific goal like buying a house.  Some banks offer high(ish) rate savings accounts http://www.bankaccountsavings.co.uk/calculator with a switching bonus that could be a good start. (combining the nationwide flexdirect and regular saver) if you want something more long term - safe option is bonds, medium risk option is Index funds (kind of covers all 3 risks really), risky option is Stocks & shares. For these probably a S&S ISA for a tax efficient option. Also LISA or HtB ISA are worth considering if you want to buy a house in the future.",11,130
